;name;link;down_salary;top_salary;website_origin;salary_value
79;Инженер ПТО;https://hh.ru/vacancy/36691714?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;80000;90000;hh.ru;руб.
80;Начальник производства/главный инженер производства;https://hh.ru/vacancy/36329681?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;None;None;hh.ru;None
81;Инженер-испытатель/инженер-программист (цифровые микросхемы);https://hh.ru/vacancy/36446269?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;None;None;hh.ru;None
82;Инженер ПТО;https://hh.ru/vacancy/36658116?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;60000;70000;hh.ru;руб.
83;Инженер ОТ и ТБ;https://hh.ru/vacancy/36401335?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;60000;None;hh.ru;руб.
84;Инженер-конструктор;https://hh.ru/vacancy/36306494?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;None;None;hh.ru;None
85;Инженер VMware;https://hh.ru/vacancy/36449072?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;120000;140000;hh.ru;руб.
86;Инженер-геофизик;https://hh.ru/vacancy/36613778?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;50000;None;hh.ru;руб.
87;Инженер по продажам (промышленное оборудование);https://hh.ru/vacancy/35075733?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;150000;None;hh.ru;руб.
88;Инженер-сметчик;https://hh.ru/vacancy/36582010?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;70000;None;hh.ru;руб.
89;Инженер-сметчик (электромонтажные работы);https://hh.ru/vacancy/36404347?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;None;None;hh.ru;None
90;Инженер-макетчик;https://hh.ru/vacancy/36292957?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;40000;90000;hh.ru;руб.
91;Младший инженер;https://hh.ru/vacancy/36557049?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;30000;None;hh.ru;руб.
92;Сервисный инженер;https://hh.ru/vacancy/36559598?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;50000;70000;hh.ru;руб.
93;Инженер-проектировщик / Инженер-конструктор (лестницы на металлическом каркасе);https://hh.ru/vacancy/36364717?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;70000;None;hh.ru;руб.
94;Инженер-разработчик;https://hh.ru/vacancy/36323155?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;80000;None;hh.ru;руб.
95;QA инженер/Специалист по тестированию;https://hh.ru/vacancy/36441398?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;None;None;hh.ru;None
96;Инженер ПТО (инженерные сети, коммуникации);https://hh.ru/vacancy/36382069?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;75000;None;hh.ru;руб.
97;Инженер по применению;https://hh.ru/vacancy/35906195?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;None;None;hh.ru;None
98;Инженер-сметчик;https://hh.ru/vacancy/36523636?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;80000;None;hh.ru;руб.
99;Инженер;https://hh.ru/vacancy/36313721?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;45000;55000;hh.ru;руб.
100;Сервисный инженер;https://hh.ru/vacancy/36425926?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;70000;110000;hh.ru;руб.
101;Инженер- химик (микробиолог);https://hh.ru/vacancy/36654717?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;60000;70000;hh.ru;руб.
102;Инженер в сфере электроэнергетики ВЛ 0,4-500 кВ;https://hh.ru/vacancy/36608057?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;60000;90000;hh.ru;руб.
103;Сервисный инженер;https://hh.ru/vacancy/36639354?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;80000;None;hh.ru;руб.
