;id;name;link;website_origin;down_salary;top_salary;salary_value
84;34;Ведущий инженер / пре-сейл инженер;https://hh.ru/vacancy/36695814?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;80000;0;руб.
85;35;Инженер;https://hh.ru/vacancy/36313721?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;45000;55000;руб.
86;36;Инженер по оказанию компьютерной помощи;https://hh.ru/vacancy/36377432?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;50000;0;руб.
87;37;Инженер- химик (микробиолог);https://hh.ru/vacancy/36654717?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;60000;70000;руб.
88;38;Инженер по эксплуатации зданий;https://hh.ru/vacancy/36703208?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;80000;руб.
89;39;Ведущий инженер-проектировщик (Эколог);https://hh.ru/vacancy/36664001?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;70000;0;руб.
90;40;Инженер-проектировщик / Инженер-конструктор (лестницы на металлическом каркасе);https://hh.ru/vacancy/36364717?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;70000;0;руб.
91;41;Главный инженер проекта/Ведущий Инженер-конструктор (Инженер конструктор);https://hh.ru/vacancy/36527052?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;80000;150000;руб.
92;42;Сервисный инженер;https://hh.ru/vacancy/36559598?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;50000;70000;руб.
93;43;Сервисный инженер;https://hh.ru/vacancy/36639354?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;80000;0;руб.
94;44;Инженер-сметчик;https://hh.ru/vacancy/36527924?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;0;0
95;45;Системный инженер;https://hh.ru/vacancy/36651724?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;100000;0;руб.
96;46;Инженер по применению;https://hh.ru/vacancy/35906195?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;0;0;0
97;47;Ведущий инженер производственного отдела (списание ТМЦ);https://hh.ru/vacancy/36556759?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;100000;0;руб.
98;48;Главный инженер проекта (ГИП);https://hh.ru/vacancy/36712448?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;120000;0;руб.
99;49;BIM-инженер;https://hh.ru/vacancy/36713719?query=%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80;hh.ru;80000;90000;руб.
